CustomerID,Lookalikes
C0001,"[('C0107', 0.9999999973795218), ('C0137', 0.9999999967973304), ('C0174', 0.9999999922694118)]"
C0002,"[('C0142', 0.999999991644862), ('C0177', 0.9999999816565557), ('C0088', 0.9999999723943378)]"
C0003,"[('C0190', 0.9999999727484771), ('C0133', 0.9999999703696817), ('C0174', 0.9999999613808817)]"
C0004,"[('C0113', 0.9999999861600865), ('C0102', 0.9999999653771664), ('C0104', 0.999999933069121)]"
C0005,"[('C0186', 0.9999999973315817), ('C0159', 0.9999999967514345), ('C0007', 0.9999999860499668)]"
C0006,"[('C0168', 0.9999999752883997), ('C0048', 0.9999999700271326), ('C0187', 0.9999999666112642)]"
C0007,"[('C0159', 0.9999999906980171), ('C0115', 0.999999988763861), ('C0005', 0.9999999860499668)]"
C0008,"[('C0084', 0.9999998520532335), ('C0093', 0.9999998121359456), ('C0068', 0.9999997861231144)]"
C0009,"[('C0198', 0.9999999750014656), ('C0063', 0.9999999539619474), ('C0061', 0.9999999156102939)]"
C0010,"[('C0166', 0.9999999797125072), ('C0199', 0.9999999687617109), ('C0073', 0.9999999580587227)]"
C0011,"[('C0107', 0.9999999963989861), ('C0048', 0.9999999962832914), ('C0001', 0.9999999917103962)]"
C0012,"[('C0155', 0.9999999864839652), ('C0013', 0.9999999754706049), ('C0108', 0.9999999661125495)]"
C0013,"[('C0155', 0.9999999828837671), ('C0012', 0.9999999754706049), ('C0163', 0.9999999701455916)]"
C0014,"[('C0060', 0.9999999979285957), ('C0198', 0.9999999587134686), ('C0063', 0.9999999059586315)]"
C0015,"[('C0020', 0.9999999700800568), ('C0144', 0.999999948063164), ('C0058', 0.9999999257640588)]"
C0016,"[('C0183', 0.9999999872204208), ('C0154', 0.9999999709002935), ('C0117', 0.9999999615299894)]"
C0017,"[('C0124', 0.9999999535950055), ('C0041', 0.9999998920109961), ('C0162', 0.9999998745695657)]"
C0018,"[('C0067', 0.9999999068984599), ('C0122', 0.9999998941275533), ('C0046', 0.9999998715723034)]"
C0019,"[('C0172', 0.9999999968058377), ('C0127', 0.999999960421383), ('C0069', 0.9999999545972557)]"
C0020,"[('C0058', 0.999999977262638), ('C0033', 0.9999999743199096), ('C0015', 0.9999999700800568)]"
